"Tanggal Pembelian","No Invoice","Nama Supplier","Nama Barang","Jumlah","Satuan","Harga Satuan","Total Harga","Harga Jual"
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","SUSU UHT DIAMOND (NGASEM)",12,"LTR",22500,270000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","PAPRIKA BUBUK (NGASEM)",1,"KG",83000,83000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","SAOS TOMAT DELMONTE (NGASEM)",10,"KG",20000,200000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","CHICKEN POWDER ( TUGUREJO)",4,"KG",75000,300000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","MADU 625 ML (TUGUREJO)",5,"BTL",40000,200000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","SAORI (TUGUREJO)",2,"BTL",55000,110000,0
"2026-07-20","INV/2026/07/0269","Puji Sayur dan Buah Bumbu","KECAP ASIN (TUGUREJO)",1,"BTL",32000,32000,0
"2026-07-20","INV/2026/07/0270","Lailita Ngasem","PLASTIK SAYUR",2,"Pcs",4500,9000,0
"2026-07-20","INV/2026/07/0270","Lailita Ngasem","AYAM PTONG",6,"KG",31000,186000,0
"2026-07-20","INV/2026/07/0271","Shela Rahma Azizah Tugurejo","AYAM DADA FILLET",12.9,"KG",38000,490200,0
"2026-07-20","INV/2026/07/0272","Lala Koperasi","BELANJA KOPERASI",1,"Pcs",5000000,5000000,0
"2026-07-20","INV/2026/07/0273","Sumarmo","TELUR ASIN (PAGU)",2550,"Pcs",2800,7140000,3500
"2026-07-21","INV/2026/07/0273","Rudi Beras","BERAS (NGASEM)",100,"KG",14100,1410000,15000
"2026-07-21","INV/2026/07/0273","Rudi Beras","BERAS (TUGUREJO)",150,"KG",14100,2115000,15000
"2026-07-21","INV/2026/07/0273","Rudi Beras","BERAS (PAGU)",130,"KG",14100,1833000,15000
"2026-07-21","INV/2026/07/0274","Rom Sembako","TUMBAR BUBUK 1/2KG (TUGUREJO)",1,"Pcs",20000,20000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","GULA MERAH (TUGUREJO)",5,"KG",13000,65000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","GARAM (TGUREJO)",15,"Pcs",1750,26250,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","GULA (TUGUREJO)",10,"KG",16300,163000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","TEPUNG TERIGU (NGASEM) ",6,"KG",9300,55800,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","BAWANG PUTIH BUBUK 1/4KG (NGASEM)",1,"Pcs",40000,40000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","KECAP MANIS SAWI REFIL (NGASEM)",6,"Pcs",37500,225000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","GULA (NGASEM)",5,"KG",16300,81500,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","TEPUNG TAPIOKA (PAGU)",1,"KR",325000,325000,0
"2026-07-21","INV/2026/07/0274","Rom Sembako","AJINOMOTO (PAGU)",1,"KG",50000,50000,0
"2026-07-21","INV/2026/07/0275","Ida Minyak","MINYAK (PAGU)",20,"LTR",18500,370000,0
"2026-07-21","INV/2026/07/0275","Ida Minyak","MINYAK (NGASEM)",10,"LTR",18500,185000,0
"2026-07-21","INV/2026/07/0275","Ida Minyak","MINYAK (TUGUREJO)",50,"LTR",18500,925000,0
"2026-07-21","INV/2026/07/0276","Mega Supplier","DP TELUR ASIN PAK AL",1,"ISI",1000000,1000000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","KNOOR ROSTIP (PAGU)",1,"KG",75000,75000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","TULANG AYAM (PAGU)",4,"KG",20000,80000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","SAORI (KOPERASI)",2,"LTR",55000,110000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","KERUPUK FINA (TUGUREJO)",24,"DUS",94000,2256000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","SAORI ( TUGUREJO)",3,"BTL",55000,165000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","KECAP MANIS (TUGUREJO)",1,"JRG",168000,168000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","CHICKEN POWDER (TUGUREJO)",4,"KG",75000,300000,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","BRAMBANG GORENG (PAGU)",1.5,"KG",75000,112500,0
"2026-07-21","INV/2026/07/0277","Puji Sayur dan Buah Bumbu","BAWANG GORENG (PAGU)",1,"KG",85000,85000,0
"2026-07-21","INV/2026/07/0278","Yosua Buah","PISANG CAV. KUNING (TUGUREJO)",2850,"Pcs",2100,5985000,0
"2026-07-21","INV/2026/07/0278","Yosua Buah","MELON (PAGU)",250,"KG",16500,4125000,0
"2026-07-21","INV/2026/07/0278","Yosua Buah","SUSU FF (NGASEM)",69,"KRT",110500,7624500,0
"2026-07-21","INV/2026/07/0279","Isrofil Amar Dharma","TAHU BAKSO (PAGU)",2580,"Pcs",1400,3612000,0
"2026-07-21","INV/2026/07/0280","Tedy Telur","TELUR (TUGUREJO)",195,"KG",23800,4641000,0
"2026-07-21","INV/2026/07/0280","Tedy Telur","TELUR (NGASEM)",153,"KG",23800,3641400,0
"2026-07-21","INV/2026/07/0281","Anto Tempe","TEMPE (TUGUREJO)",180,"Pcs",5000,900000,0
"2026-07-21","INV/2026/07/0282","Muchsieun Gas","GAS (PAGU)",5,"TBG",230000,1150000,0
"2026-07-21","INV/2026/07/0282","Muchsieun Gas","GAS (TUGUREJO)",7,"TBG",230000,1610000,0
"2026-07-21","INV/2026/07/0283","Yuyun Pagu","telur ayam",8,"kg",25000,200000,0
"2026-07-21","INV/2026/07/0283","Yuyun Pagu","royco ayam",14,"rtg",5000,70000,0
"2026-07-21","INV/2026/07/0283","Yuyun Pagu","garam halus",1,"bal",40000,40000,0
"2026-07-21","INV/2026/07/0283","Yuyun Pagu","melon",10,"kg",15000,150000,0
"2026-07-21","INV/2026/07/0284","Lailita Ngasem","KECAP BANGO 1.5KG",4,"PCS",55500,222000,0
"2026-07-21","INV/2026/07/0284","Lailita Ngasem","PLASTIK ES LILIN",8,"PACK",12500,100000,0
"2026-07-21","INV/2026/07/0284","Lailita Ngasem","BENANG",1,"PACK",30000,30000,0
"2026-07-21","INV/2026/07/0284","Lailita Ngasem","GUNTING",2,"PCS",10000,20000,0
"2026-07-21","INV/2026/07/0284","Lailita Ngasem","TEMPE",85,"Pcs",12000,1020000,0
"2026-07-21","INV/2026/07/0285","Shela Rahma Azizah Tugurejo","GAS",4,"TBG",239000,956000,0
"2026-07-21","INV/2026/07/0286","Lala Koperasi","DANA BELANJA",1,"ISI",5000000,5000000,0
"2026-07-21","INV/2026/07/0287","Ida Minyak","MINYAK (PAGU)",40,"Ltr",18500,740000,0
"2026-07-22","INV/2026/07/0288","Rudi Beras","BERAS (TUGUREJO)",175,"KG",14100,2467500,0
"2026-07-22","INV/2026/07/0288","Rudi Beras","BERAS (NGASEM)",100,"KG",14100,1410000,0
"2026-07-22","INV/2026/07/0288","Rudi Beras","BERAS (PAGU)",130,"KG",14100,1833000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","GULA (TUGUREJO)",10,"KG",16200,162000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","GARAM (TUGUREJO)",15,"Pcs",3000,45000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","TEPUNG COKRO (TUGUREJO)",1,"SAK",223000,223000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","TEPUNG PATI (TUGUREJO)",10,"KG",13500,135000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","KUNYIT BUBUK 1/4KG (NGASEM)",1,"Pcs",45000,45000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","TEPUNG TERIGU ( NGASEM)",10,"KG",9300,93000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","KETUMBAR BUBUK (NGSEM)",1,"Pcs",20000,20000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","GARAM (NGASEM)",7,"Pcs",1750,12250,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","TEPUNG PANIR ( PAGU)",1,"SAK",175000,175000,0
"2026-07-22","INV/2026/07/0289","Rom Sembako","AJINOMOTO (PAGU)",1,"KG",50000,50000,0
"2026-07-22","INV/2026/07/0290","Ida Minyak","MINYAK (PAGU)",20,"LTR",18500,370000,0
"2026-07-22","INV/2026/07/0290","Ida Minyak","MINYAK (NGASEM)",60,"LTR",18500,1110000,0
"2026-07-22","INV/2026/07/0290","Ida Minyak","MINYAK (TUGUREJO)",90,"LTR",18500,1665000,0
"2026-07-22","INV/2026/07/0290","Ida Minyak","MINYAK (PAGU)",60,"LTR",18500,1110000,0
"2026-07-22","INV/2026/07/0291","Yosua Buah","SEMANGKA (TUGUREJO)",320,"KG",12500,4000000,0
"2026-07-22","INV/2026/07/0291","Yosua Buah","SUSU FF (PAGU)",74,"KRT",110500,8177000,0
"2026-07-22","INV/2026/07/0292","Muchsieun Gas","GAS (PAGU)",5,"Pcs",230000,1150000,0
"2026-07-22","INV/2026/07/0292","Muchsieun Gas","GAS (TUGUREJO)",5,"Pcs",230000,1150000,0
"2026-07-22","INV/2026/07/0293","Sumber Biru Unggas","AYAM POTONG (NGASEM)",252.41,"KG",33000,8329530,0
"2026-07-22","INV/2026/07/0293","Sumber Biru Unggas","BONELESS DADA (TUGUREJO)",140.6,"KG",43000,6045800,0
"2026-07-22","INV/2026/07/0294","Tedy Telur","TELUR PAGU ",159,"KG",23800,3784200,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","SAORI (PAGU)",1,"Pcs",55000,55000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","KNOOR (PAGU)",3,"KG",101000,303000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","TOTOLE (NGASEM)",1,"KG",120000,120000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","SAORI (NGASEM)",5,"BTL",55000,275000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","SAOS DELMONTE BBQ (TUGUREJO)",2,"kg",37000,74000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","KECAP INGGRIS (TUGUREJO)",1,"BTL",50000,50000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","CHICKEN POWDER (TUGUREJO)",4,"KG",75000,300000,0
"2026-07-22","INV/2026/07/0295","Puji Sayur dan Buah Bumbu","WIJEN PUTIH (TUGUREJO)",1.5,"KG",48000,72000,0
"2026-07-22","INV/2026/07/0296","April Tahu","TAHU (TUGUREJO)",720,"Pcs",1000,720000,1500
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","BERAS",2,"KG",15000,30000,0
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","TEMPE",30,"PCS",6000,180000,0
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","SELADA",22,"KG",30000,660000,0
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","GARAM",1,"KG",20000,20000,0
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","TEPUNG PANIR",5,"KG",17000,85000,0
"2026-07-22","INV/2026/07/0297","Yuyun Pagu","ADONAN BASAH BAKSO",120,"KG",31000,3720000,0
"2026-07-22","INV/2026/07/0298","Bayu Pisang Cavendish Kuning","PISANG CAV KUNING",2560,"Pcs",1800,4608000,2000
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","GFARM FF SHS",1,"KG",53000,53000,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","TERIGU KUNCI BIRU",1,"Pcs",14700,14700,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","TERIGU SEGITIGA BIRU",8,"PCS",15200,121600,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","TERIGU CAKRA KEMBAR",4,"Pcs",15800,63200,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","LECANA MERAH",7,"KG",11200,78400,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","FORVITA",4,"Pcs",7200,28800,0
"2026-07-22","INV/2026/07/0299","Lailita Ngasem","GFARM FF SHS",1,"Pcs",53000,53000,0
"2026-07-22","INV/2026/07/0300","Anto Tempe","TEMPE (PAGU)",300,"Pcs",5000,1500000,6000
"2026-07-22","INV/2026/07/0301","Lailita Ngasem","TEPUNG TERIGU",30,"KG",10000,300000,0
"2026-07-22","INV/2026/07/0301","Lailita Ngasem","TEPUNG MAIZENA",25,"KG",19500,487500,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","GARAM (NGASEM)",5,"BIJI",1750,8750,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","GULA MERAH (NGASEM)",3,"KG",13000,39000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","LADAKU 1/4 (NGASEM)",1,"Pcs",100000,100000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","BAPUT BUBUK 1/4 (NGASEM)",1,"Pcs",40000,40000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","TEPUNG TERIGU (NGASEM)",4,"KG",9300,37200,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","TEPUNG PATI (NGASEM)",4,"KG",13500,54000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","BIHUN JAGUNG (PAGU)",15,"Pcs",7100,106500,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","AJINOMOTO (PAGU)",2,"KG",50000,100000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","GARAM (PAGU)",3,"BAL",35000,105000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","GULA (PAGU)",10,"KG",16200,162000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","ROYCO SAPI (PAGU)",8,"Pcs",9500,76000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","TEPUNG TAPIOKA (TUGUREJO)",5,"KG",13500,67500,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","BLUBEN (TUGUREJO)",6,"KG",34000,204000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","TEPUNG PANIR (TUGUREJO)",2,"SAK",175000,350000,0
"2026-07-23","INV/2026/07/0302","Rom Sembako","TEPUNG COKRO (TUGUREJO)",1,"SAK",223000,223000,0
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","KNOOR (PAGU)",2,"KG",101000,202000,106000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","SENGKEL SAPI (PAGU)",6,"Pcs",15000,90000,18000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","TOTOLE (NGASEM)",2,"KG",120000,240000,125000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","FIBER CREAM (NGASEM)",1,"KG",118000,118000,123000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","SAORI (TUGUREJO)",3,"BTL",55000,165000,60000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","KECAP ASIN SAWI (TUGUREJO)",1,"BTL",15000,15000,20000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","CHICKEN POWDER (TUGUREJO)",4,"KG",75000,300000,80000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","KULIT PANGSIT (TUGUREJO)",4,"PACK",57000,228000,60000
"2026-07-23","INV/2026/07/0303","Puji Sayur dan Buah Bumbu","BUMBU BAKSO (PAGU)",4,"Pcs",10000,40000,11000
"2026-07-23","INV/2026/07/0304","April Tahu","TAHU KUNING (PAGU)",1270,"Pcs",1000,1270000,1500
"2026-07-23","INV/2026/07/0304","April Tahu","TAHU PUTIH (TUGUREJO)",800,"Pcs",1000,800000,1500
"2026-07-23","INV/2026/07/0305","Ida Minyak","MINYAK (NGASEM)",60,"LTR",18500,1110000,20000
"2026-07-23","INV/2026/07/0305","Ida Minyak","MINYAK (TUGUREJO)",80,"LTR",18500,1480000,20000
"2026-07-23","INV/2026/07/0306","Muchsieun Gas","GAS (PAGU)",6,"TBG",230000,1380000,240000
"2026-07-23","INV/2026/07/0307","Yosua Buah","KELENGKENG (TUGUREJO)",11,"KRAT",465000,5115000,470000
"2026-07-23","INV/2026/07/0307","Yosua Buah","SUSU FF (TUGUREJO)",77,"KRT",110500,8508500,121000
"2026-07-23","INV/2026/07/0307","Yosua Buah","JERUK SIEM (PAGU)",324,"KG",16500,5346000,18500
"2026-07-23","INV/2026/07/0307","Yosua Buah","APEL UK 113 DAN 100 (NGASEM)",20,"DUS",470000,9400000,475000
"2026-07-23","INV/2026/07/0308","Rudi Beras","BERAS (TUGUREJO)",150,"KG",14100,2115000,15000
"2026-07-23","INV/2026/07/0308","Rudi Beras","BERAS (NGASEM)",100,"KG",14100,1410000,15000
"2026-07-23","INV/2026/07/0309","Tedy Telur","TELUR (NGASEM)",160,"KG",23500,3760000,25000
"2026-07-23","INV/2026/07/0309","Tedy Telur","TELUR (TUGUREJO)",200,"KG",23500,4700000,25000
"2026-07-23","INV/2026/07/0310","Yuyun Pagu","LONTONG",2115,"Pcs",1100,2326500,0
"2026-07-23","INV/2026/07/0310","Yuyun Pagu","BAKSO isi 100",3,"psck",50000,150000,0
"2026-07-23","INV/2026/07/0310","Yuyun Pagu","LONTONG",684,"Pcs",1100,752400,0
"2026-07-23","INV/2026/07/0310","Yuyun Pagu","BAKSO ISI 100",1,"PACK",50000,50000,0
"2026-07-23","INV/2026/07/0311","Isrofil Amar Dharma","PENTOL",11100,"Pcs",520,5772000,650
"2026-07-23","INV/2026/07/0312","Lailita Ngasem","SUNCO 2LT",5,"PCS",43000,215000,0
"2026-07-23","INV/2026/07/0312","Lailita Ngasem","TEMPE",79,"PCS",12000,948000,0
"2026-07-24","INV/2026/07/0313","Sumarmo","GALON AKEO",140,"GLN",16000,2240000,19800
